Head,Relation,Tail
"智善","徒弟","净虚"
"秦可卿","女","秦业"
"智通","徒弟","净虚"
"智能儿","徒弟","净虚"
"胡老爷公子","施主","净虚"
"净虚","师父","智能儿"
"秦钟","子","秦业"
"张金哥","女","张大财主"
"智能儿","女友","秦钟"
"李公子","雇主","张金哥"
"胡老爷","施主","净虚"
"长安原任守备","父亲","李公子"
"张大财主","施主","净虚"
"于老爷","施主","净虚"
"胡老爷太太","施主","净虚"
