Name,ClusterNo,Property,Degree,Visited,Border
"""潘又安""",2,噪声,1,true,false
"""薛宝琴母""",1,噪声,1,true,false
"""秦钟""",3,噪声,2,true,false
"""费婆子""",2,噪声,1,true,false
"""碧痕""",1,保护,1,true,false
"""王成父""",1,噪声,2,true,false
"""五嫂子卜氏""",0,噪声,2,true,false
"""李妈""",2,噪声,1,true,false
"""马贩子王短腿""",0,噪声,1,true,false
"""绣鸾""",1,保护,1,true,false
"""紫绡""",1,保护,1,true,false
"""林如海之祖""",1,噪声,1,true,false
"""三姑娘""",1,噪声,1,true,false
"""周氏""",0,噪声,1,true,false
"""薛公""",1,噪声,1,true,false
"""白老媳妇""",1,噪声,2,true,false
"""襄阳侯""",0,噪声,1,true,false
"""宝蟾""",1,噪声,1,true,false
"""薛蟠""",1,噪声,4,true,false
"""北静王太妃""",0,噪声,1,true,false
"""双瑞""",1,保护,1,true,false
"""来旺儿""",2,保护,1,true,false
"""彩霞之母""",1,噪声,1,true,false
"""甄宝玉""",1,噪声,3,true,false
"""佩凤""",4,保护,1,true,false
"""贾瑞之母""",0,噪声,1,true,false
"""西宁郡王""",0,噪声,2,true,false
"""贾敷""",4,噪声,2,true,false
"""王板儿""",1,噪声,1,true,false
"""银蝶""",4,噪声,1,true,false
"""翠缕""",5,噪声,1,true,false
"""翠云""",2,保护,1,true,false
"""王熙凤""",2,高密度,8,true,false
"""缮国公""",0,噪声,2,true,false
"""秋纹""",1,保护,1,true,false
"""焦大""",4,噪声,2,true,false
"""于老爷""",3,保护,1,true,false
"""叶茗烟""",1,边界,2,true,false
"""王青儿""",1,噪声,1,true,false
"""小螺""",1,噪声,1,true,false
"""太祖皇帝""",1,噪声,1,true,false
"""夏金桂""",1,噪声,4,true,false
"""张如圭""",0,噪声,1,true,false
"""嫣红""",2,保护,1,true,false
"""彩儿""",4,噪声,1,true,false
"""赵姨娘""",1,边界,5,true,false
"""刑秞烟""",1,噪声,2,true,true
"""东安郡王穆莳拜""",0,噪声,1,true,false
"""炒豆儿""",4,噪声,1,true,false
"""周财主""",2,噪声,1,true,false
"""邢德全""",2,噪声,1,true,false
"""侯孝康""",0,噪声,1,true,false
"""贾菌""",1,噪声,1,true,false
"""何春燕""",1,边界,4,true,false
