Name,ClusterNo,Property,Degree,Visited,Border
秦可卿,4,噪声,4,false,true
贾源,1,噪声,3,false,true
茄官,4,噪声,1,false,false
文花,4,保护,1,false,false
杏奴,4,噪声,1,false,false
彩屏,4,噪声,1,false,false
贾璜,4,噪声,1,false,false
柳湘莲,4,噪声,2,false,false
喜儿,4,边界,2,false,true
寿儿,4,保护,1,false,false
尤老娘,4,噪声,3,false,true
许氏,4,噪声,1,false,false
金氏,4,噪声,2,false,false
瑞珠,0,噪声,1,false,false
贾代化,4,噪声,6,false,false
银蝶,4,噪声,1,false,false
贾蓉,4,边界,4,false,false
贾珍,4,高密度,8,false,false
胡氏,4,噪声,3,false,true
尤氏,4,边界,5,false,false
尤三姐,4,噪声,2,false,false
薛宝钗,1,边界,6,false,true
入画,4,噪声,1,false,false
炒豆儿,4,噪声,1,false,false
偕鸾,4,保护,1,false,false
贾演,4,噪声,6,false,true
龄官,0,噪声,1,false,false
尤二姐,2,边界,5,false,true
佩凤,4,保护,1,false,false
贾惜春,4,噪声,4,false,true
金荣,0,噪声,1,false,false
贾蔷,4,噪声,2,false,true
焦大,4,噪声,2,false,false
宝珠,0,噪声,1,false,false
贾敷,4,噪声,2,false,false
秦业,3,噪声,2,false,true
彩儿,0,噪声,1,false,false
贾敬,4,边界,4,false,false
