Name,ClusterNo,Property,Degree,Visited,Border
蒋子宁,0,噪声,1,false,false
三姑娘,0,噪声,1,false,false
王子腾夫人,0,噪声,1,false,false
薛蝌,0,噪声,1,false,false
张大老爷,0,噪声,1,false,false
秦可卿,0,噪声,2,false,false
锦乡侯诰命,0,噪声,1,false,false
牛清,0,噪声,3,false,false
宝蟾,0,噪声,1,false,false
应天府门子,0,噪声,2,false,false
贾四姐,0,噪声,1,false,false
水溶,0,噪声,3,false,false
薛宝琴,0,噪声,3,false,false
戚建辉,0,噪声,1,false,false
南安郡王,0,噪声,2,false,false
李纨,0,噪声,3,false,false
东平郡王,0,噪声,1,false,false
湘云母,0,噪声,2,false,false
袭人之母,0,噪声,1,false,false
张金哥,0,噪声,1,false,false
娇杏,0,噪声,1,false,false
孙绍祖,0,噪声,1,false,false
石光珠,0,噪声,1,false,false
李纹,0,噪声,1,false,false
西宁郡王之孙,0,噪声,1,false,false
贾芹,0,噪声,1,false,false
贾芸,0,噪声,3,false,false
柳芳,0,噪声,1,false,false
锦乡侯,0,噪声,2,false,false
贾瑞之母,0,噪声,1,false,false
甄夫人,0,噪声,1,false,false
侯明,0,噪声,1,false,false
襄阳侯,0,噪声,1,false,false
锦田侯诰命,0,噪声,1,false,false
王奶奶,0,噪声,1,false,false
甄应嘉,0,噪声,6,false,false
翠缕,0,噪声,1,false,false
吴天佑,0,噪声,1,false,false
王青儿,0,噪声,1,false,false
马尚,0,噪声,1,false,false
赖尚荣,0,噪声,1,false,false
王子腾,0,噪声,2,false,false
马魁,0,噪声,1,false,false
瑞珠,0,噪声,1,false,false
长安原任守备,0,噪声,1,false,false
碧月,0,噪声,1,false,false
鸳鸯,0,噪声,2,false,false
王成父,0,噪声,1,false,false
李婶之弟,0,噪声,1,false,false
贾代儒,0,噪声,1,false,false
神武将军冯唐,0,噪声,1,false,false
甄宝玉,0,噪声,3,false,false
史鼐,0,噪声,1,false,false
缮国公,0,噪声,2,false,false
夏奶奶,0,噪声,1,false,false
史鼎,0,噪声,1,false,false
冯紫英,0,噪声,1,false,false
卜世仁娘子,0,噪声,1,false,false
胡氏,0,噪声,1,false,false
贾菌,0,噪声,1,false,false
镇国公诰命长男,0,噪声,1,false,false
北静郡王,0,噪声,2,false,false
香菱,0,噪声,2,false,false
韩奇,0,噪声,1,false,false
李绮,0,噪声,3,false,false
北静王太妃,0,噪声,1,false,false
吴贵妃,0,噪声,1,false,false
周奶妈,0,噪声,1,false,false
陈瑞文,0,噪声,1,false,false
梅翰林,0,噪声,1,false,false
东安郡王穆莳拜,0,噪声,1,false,false
张如圭,0,噪声,1,false,false
马贩子王短腿,0,噪声,1,false,false
贾雨村子,0,噪声,1,false,false
素云,0,噪声,1,false,false
赖大,0,噪声,3,false,false
夏金桂,0,噪声,1,false,false
小螺,0,噪声,1,false,false
娄氏,0,噪声,1,false,false
花自芳,0,噪声,1,false,false
赖大的女儿,0,噪声,1,false,false
多姑娘儿,0,噪声,1,false,false
史湘云爷爷,0,噪声,2,false,false
卜世仁,0,噪声,5,false,false
裘良,0,噪声,1,false,false
刘姥姥,0,噪声,1,false,false
龄官,0,噪声,1,false,false
贾化,0,噪声,5,false,false
李衙内,0,噪声,1,false,false
金文翔,0,噪声,1,false,false
西宁郡王妃,0,噪声,1,false,false
史鼎的夫人,0,噪声,1,false,false
小丫头子,0,噪声,1,false,false
荳官,0,噪声,1,false,false
长安府府太爷,0,噪声,1,false,false
牛继宗,0,噪声,1,false,false
大姑娘,0,噪声,1,false,false
北静王少妃,0,噪声,1,false,false
贾惜春,0,噪声,1,false,false
甄宝玉祖母,0,噪声,1,false,false
邢岫烟,0,噪声,1,false,false
卫若兰,0,噪声,1,false,false
